,NH3,NH4,NO2,NO3,TAN,N2O,deltaNH3,deltaNH4,deltaNO2,deltaNO3,deltaTAN,deltaN2O,pH
1,3.55,16.45,0.6323605646,2.9408968897,19.8461706603,0.01,-27,18,8,8,11,-20,8.5
1000,0.3550517684,2.3516545876,0.8107145032,9.5963442032,2.6811498315,0.6803953314,-16.071935015,29.7458259571,30.1293600396,9.8830779027,23.7356885737,-7.2852630796,
2000,0.0480513257,0.3182637874,0.1012748029,10.0837579544,0.2513206099,1.6977378594,-2.7033792239,43.7369041659,45.8454184623,13.7065206116,37.6451075055,-4.7989631267,
3000,0.0065032567,0.0430737572,,9.3397262917,0.0508097107,2.6862453421,10.8456310476,57.9168404216,,15.8211298137,,-3.1810218743,
4000,0.0008802286,0.0058301179,,8.7211534368,,3.5899671749,24.5747697377,72.2852920502,,17.4754090219,,-2.027471851,
5000,0.0001192158,0.0007896229,,7.6951115198,,4.4089454458,38.4603123245,86.8174093721,,19.0285250383,,-1.0994210133,
